game_id,episode_id,map_number,started_at,ended_at
1,1,4,2026-06-01 18:00:00,2026-06-01 18:11:00
2,2,5,2026-06-01 18:15:00,2026-06-01 18:25:00
3,3,4,2026-06-01 18:30:00,2026-06-01 18:44:00
4,4,5,2026-06-01 18:45:00,2026-06-01 18:58:00
5,1,5,2026-06-01 19:00:00,2026-06-01 19:10:00
6,2,4,2026-06-01 19:15:00,2026-06-01 19:29:00
19,3,5,2026-06-01 22:30:00,2026-06-01 22:43:00
20,4,5,2026-06-01 22:45:00,2026-06-01 22:55:00
21,1,5,2026-06-01 23:00:00,2026-06-01 23:10:00
22,2,4,2026-06-01 23:15:00,2026-06-01 23:26:00
23,3,5,2026-06-01 23:30:00,2026-06-01 23:42:00
24,4,5,2026-06-01 23:45:00,2026-06-01 23:58:00
25,1,4,2026-06-02 00:00:00,2026-06-02 00:13:00
26,2,5,2026-06-02 00:15:00,2026-06-02 00:27:00
27,3,4,2026-06-02 00:30:00,2026-06-02 00:44:00
28,4,5,2026-06-02 00:45:00,2026-06-02 00:55:00
29,1,4,2026-06-02 01:00:00,2026-06-02 01:10:00
30,2,5,2026-06-02 01:15:00,2026-06-02 01:27:00
31,3,5,2026-06-02 01:30:00,2026-06-02 01:40:00
32,4,5,2026-06-02 01:45:00,2026-06-02 01:55:00
33,1,4,2026-06-02 02:00:00,2026-06-02 02:12:00
34,2,4,2026-06-02 02:15:00,2026-06-02 02:26:00
35,3,5,2026-06-02 02:30:00,2026-06-02 02:42:00
36,4,4,2026-06-02 02:45:00,2026-06-02 02:57:00
37,1,5,2026-06-02 03:00:00,2026-06-02 03:12:00
38,2,4,2026-06-02 03:15:00,2026-06-02 03:27:00
39,3,5,2026-06-02 03:30:00,2026-06-02 03:40:00
40,4,4,2026-06-02 03:45:00,2026-06-02 03:55:00
41,1,5,2026-06-02 04:00:00,2026-06-02 04:12:00
42,2,5,2026-06-02 04:15:00,2026-06-02 04:29:00
43,3,5,2026-06-02 04:30:00,2026-06-02 04:41:00
44,4,4,2026-06-02 04:45:00,2026-06-02 04:55:00
45,1,5,2026-06-02 05:00:00,2026-06-02 05:11:00
46,2,5,2026-06-02 05:15:00,2026-06-02 05:27:00
47,3,5,2026-06-02 05:30:00,2026-06-02 05:42:00
48,4,4,2026-06-02 05:45:00,2026-06-02 05:57:00
49,1,4,2026-06-02 06:00:00,2026-06-02 06:14:00
50,2,5,2026-06-02 06:15:00,2026-06-02 06:26:00
51,3,5,2026-06-02 06:30:00,2026-06-02 06:43:00
52,4,5,2026-06-02 06:45:00,2026-06-02 06:55:00
53,1,5,2026-06-02 07:00:00,2026-06-02 07:14:00
54,2,4,2026-06-02 07:15:00,2026-06-02 07:29:00
55,3,5,2026-06-02 07:30:00,2026-06-02 07:42:00
56,4,4,2026-06-02 07:45:00,2026-06-02 07:56:00
57,1,5,2026-06-02 08:00:00,2026-06-02 08:14:00
58,2,4,2026-06-02 08:15:00,2026-06-02 08:25:00
59,3,5,2026-06-02 08:30:00,2026-06-02 08:43:00
60,4,4,2026-06-02 08:45:00,2026-06-02 08:56:00
61,1,5,2026-06-02 09:00:00,2026-06-02 09:12:00
62,2,4,2026-06-02 09:15:00,2026-06-02 09:27:00
63,3,4,2026-06-02 09:30:00,2026-06-02 09:40:00
64,4,5,2026-06-02 09:45:00,2026-06-02 09:59:00
65,1,4,2026-06-02 10:00:00,2026-06-02 10:12:00
66,2,5,2026-06-02 10:15:00,2026-06-02 10:27:00
67,3,5,2026-06-02 10:30:00,2026-06-02 10:40:00
68,4,4,2026-06-02 10:45:00,2026-06-02 10:58:00
69,1,5,2026-06-02 11:00:00,2026-06-02 11:13:00
70,2,4,2026-06-02 11:15:00,2026-06-02 11:25:00
71,3,5,2026-06-02 11:30:00,2026-06-02 11:42:00
72,4,4,2026-06-02 11:45:00,2026-06-02 11:56:00
73,1,5,2026-06-02 12:00:00,2026-06-02 12:11:00
74,2,4,2026-06-02 12:15:00,2026-06-02 12:25:00
75,3,4,2026-06-02 12:30:00,2026-06-02 12:43:00
76,4,5,2026-06-02 12:45:00,2026-06-02 12:57:00
77,1,5,2026-06-02 13:00:00,2026-06-02 13:12:00
78,2,4,2026-06-02 13:15:00,2026-06-02 13:26:00
79,3,5,2026-06-02 13:30:00,2026-06-02 13:41:00
80,4,5,2026-06-02 13:45:00,2026-06-02 13:58:00
81,1,4,2026-06-02 14:00:00,2026-06-02 14:10:00
82,2,4,2026-06-02 14:15:00,2026-06-02 14:29:00
83,3,4,2026-06-02 14:30:00,2026-06-02 14:44:00
84,4,5,2026-06-02 14:45:00,2026-06-02 14:58:00
85,1,5,2026-06-02 15:00:00,2026-06-02 15:11:00
86,2,4,2026-06-02 15:15:00,2026-06-02 15:25:00
87,3,4,2026-06-02 15:30:00,2026-06-02 15:40:00
88,4,5,2026-06-02 15:45:00,2026-06-02 15:55:00
89,1,5,2026-06-02 16:00:00,2026-06-02 16:13:00
90,2,5,2026-06-02 16:15:00,2026-06-02 16:29:00
91,3,5,2026-06-02 16:30:00,2026-06-02 16:42:00
92,4,4,2026-06-02 16:45:00,2026-06-02 16:57:00
93,1,5,2026-06-02 17:00:00,2026-06-02 17:10:00
94,2,4,2026-06-02 17:15:00,2026-06-02 17:28:00
95,3,4,2026-06-02 17:30:00,2026-06-02 17:41:00
96,4,4,2026-06-02 17:45:00,2026-06-02 17:56:00
97,1,4,2026-06-02 18:00:00,2026-06-02 18:11:00
98,2,4,2026-06-02 18:15:00,2026-06-02 18:27:00
99,3,4,2026-06-02 18:30:00,2026-06-02 18:41:00
100,4,5,2026-06-02 18:45:00,2026-06-02 18:57:00
101,1,4,2026-06-02 19:00:00,2026-06-02 19:12:00
102,2,5,2026-06-02 19:15:00,2026-06-02 19:25:00
103,3,4,2026-06-02 19:30:00,2026-06-02 19:43:00
104,4,4,2026-06-02 19:45:00,2026-06-02 19:56:00
105,1,5,2026-06-02 20:00:00,2026-06-02 20:10:00
106,2,5,2026-06-02 20:15:00,2026-06-02 20:27:00
107,3,4,2026-06-02 20:30:00,2026-06-02 20:40:00
108,4,4,2026-06-02 20:45:00,2026-06-02 20:56:00
109,1,4,2026-06-02 21:00:00,2026-06-02 21:13:00
110,2,4,2026-06-02 21:15:00,2026-06-02 21:29:00
111,3,5,2026-06-02 21:30:00,2026-06-02 21:42:00
112,4,5,2026-06-02 21:45:00,2026-06-02 21:58:00
113,1,5,2026-06-02 22:00:00,2026-06-02 22:12:00
114,2,4,2026-06-02 22:15:00,2026-06-02 22:28:00
115,3,5,2026-06-02 22:30:00,2026-06-02 22:42:00
116,4,4,2026-06-02 22:45:00,2026-06-02 22:56:00
117,1,5,2026-06-02 23:00:00,2026-06-02 23:10:00
118,2,4,2026-06-02 23:15:00,2026-06-02 23:26:00
119,3,5,2026-06-02 23:30:00,2026-06-02 23:44:00
120,4,5,2026-06-02 23:45:00,2026-06-02 23:57:00
121,1,5,2026-06-03 00:00:00,2026-06-03 00:11:00
122,2,4,2026-06-03 00:15:00,2026-06-03 00:25:00
123,3,5,2026-06-03 00:30:00,2026-06-03 00:44:00
124,4,4,2026-06-03 00:45:00,2026-06-03 00:57:00
