sector_id,episode_id,map_number,sector_x,sector_y
1,1,4,-8,-10
2,1,4,-8,-9
3,1,4,-8,-8
4,1,4,-8,-7
5,1,4,-8,-6
6,1,4,-8,-5
7,1,4,-7,-12
8,1,4,-7,-11
9,1,4,-7,-10
10,1,4,-7,-9
11,1,4,-7,-8
12,1,4,-7,-7
13,1,4,-7,-6
14,1,4,-7,-5
15,1,4,-7,-4
16,1,4,-7,-3
17,1,4,-7,2
18,1,4,-7,3
19,1,4,-7,4
20,1,4,-6,-13
21,1,4,-6,-12
22,1,4,-6,-10
23,1,4,-6,-4
24,1,4,-6,-3
25,1,4,-6,1
26,1,4,-6,2
27,1,4,-6,3
28,1,4,-6,4
29,1,4,-6,5
30,1,4,-6,6
31,1,4,-6,7
32,1,4,-6,8
33,1,4,-6,9
34,1,4,-5,-13
35,1,4,-5,-12
36,1,4,-5,-11
37,1,4,-5,-10
38,1,4,-5,-9
39,1,4,-5,-8
40,1,4,-5,-3
41,1,4,-5,-2
42,1,4,-5,1
43,1,4,-5,3
44,1,4,-5,4
45,1,4,-5,5
46,1,4,-5,6
47,1,4,-5,7
48,1,4,-5,8
49,1,4,-5,9
50,1,4,-4,-12
51,1,4,-4,-11
52,1,4,-4,-10
53,1,4,-4,-9
54,1,4,-4,-8
55,1,4,-4,-7
56,1,4,-4,-3
57,1,4,-4,-2
58,1,4,-4,-1
59,1,4,-4,0
60,1,4,-4,1
61,1,4,-4,2
62,1,4,-4,3
63,1,4,-4,8
64,1,4,-3,-7
65,1,4,-3,-3
66,1,4,-3,-2
67,1,4,-3,-1
68,1,4,-3,0
69,1,4,-3,1
70,1,4,-3,2
71,1,4,-3,3
72,1,4,-3,4
73,1,4,-3,8
74,1,4,-3,9
75,1,4,-2,-7
76,1,4,-2,-6
77,1,4,-2,-3
78,1,4,-2,-2
79,1,4,-2,-1
80,1,4,-2,0
81,1,4,-2,1
82,1,4,-2,2
83,1,4,-2,3
84,1,4,-2,4
85,1,4,-2,8
86,1,4,-2,9
87,1,4,-1,-13
88,1,4,-1,-7
89,1,4,-1,-6
90,1,4,-1,-5
91,1,4,-1,-3
92,1,4,-1,-2
93,1,4,-1,-1
94,1,4,-1,0
95,1,4,-1,1
96,1,4,-1,2
97,1,4,-1,3
98,1,4,-1,4
99,1,4,-1,5
100,1,4,-1,8
101,1,4,-1,9
102,1,4,0,-13
103,1,4,0,-12
104,1,4,0,-7
105,1,4,0,-6
106,1,4,0,-5
107,1,4,0,-3
108,1,4,0,-2
109,1,4,0,-1
110,1,4,0,0
111,1,4,0,1
112,1,4,0,2
113,1,4,0,3
114,1,4,0,4
115,1,4,0,5
116,1,4,0,6
117,1,4,0,7
118,1,4,1,-13
119,1,4,1,-12
120,1,4,1,-7
121,1,4,1,-6
122,1,4,1,-5
123,1,4,1,0
124,1,4,1,1
125,1,4,1,2
126,1,4,1,3
127,1,4,1,4
128,1,4,1,5
129,1,4,1,6
130,1,4,1,7
131,1,4,2,-13
132,1,4,2,-12
133,1,4,2,-7
134,1,4,2,-6
135,1,4,2,-5
136,1,4,2,-1
137,1,4,2,0
138,1,4,2,1
139,1,4,2,2
140,1,4,2,3
141,1,4,2,5
142,1,4,3,-14
143,1,4,3,-13
144,1,4,3,-12
145,1,4,3,-11
146,1,4,3,-1
147,1,4,3,0
148,1,4,3,1
149,1,4,3,2
150,1,4,3,3
151,1,4,3,5
152,1,4,4,-14
153,1,4,4,-13
154,1,4,4,-11
155,1,4,4,-1
156,1,4,4,0
157,1,4,4,1
158,1,4,4,2
159,1,4,4,3
160,1,4,4,4
161,1,4,5,-11
162,1,4,5,-10
163,1,4,5,-1
164,1,4,5,0
165,1,4,5,1
166,1,4,5,2
167,1,4,5,3
168,1,4,5,4
169,1,4,6,-10
170,1,4,6,-9
171,1,4,6,-8
172,1,4,6,-1
173,1,4,6,0
174,1,4,6,1
175,1,4,6,2
176,1,4,6,3
177,1,4,6,4
178,1,4,7,-10
179,1,4,7,-9
180,1,4,7,-8
181,1,4,7,0
182,1,4,7,2
183,1,4,7,3
184,1,4,7,4
185,1,4,8,-10
186,1,4,8,-9
187,1,4,8,-8
188,1,4,8,4
189,1,4,9,-10
190,1,4,9,-9
191,1,4,9,-8
192,1,4,10,-17
193,1,4,10,-16
194,1,4,10,-11
195,1,4,10,-10
196,1,4,11,-19
197,1,4,11,-18
198,1,4,11,-17
199,1,4,11,-16
200,1,4,11,-15
201,1,4,11,-14
202,1,4,11,-12
203,1,4,11,-11
204,1,4,11,-10
205,1,4,12,-19
206,1,4,12,-18
207,1,4,12,-17
208,1,4,12,-16
209,1,4,12,-15
210,1,4,12,-14
211,1,4,12,-13
212,1,4,12,-12
213,1,4,12,-11
214,1,4,13,-17
215,1,4,13,-16
216,1,5,-8,-10
217,1,5,-8,-9
218,1,5,-8,-8
219,1,5,-8,-7
220,1,5,-8,-6
221,1,5,-8,-5
222,1,5,-7,-12
223,1,5,-7,-11
224,1,5,-7,-10
225,1,5,-7,-9
226,1,5,-7,-8
227,1,5,-7,-7
228,1,5,-7,-6
229,1,5,-7,-5
230,1,5,-7,-4
231,1,5,-7,-3
232,1,5,-7,2
233,1,5,-7,3
234,1,5,-7,4
235,1,5,-6,-13
236,1,5,-6,-12
237,1,5,-6,-10
238,1,5,-6,-4
239,1,5,-6,-3
240,1,5,-6,1
241,1,5,-6,2
242,1,5,-6,3
243,1,5,-6,4
244,1,5,-6,5
245,1,5,-6,6
246,1,5,-6,7
247,1,5,-6,8
248,1,5,-6,9
249,1,5,-5,-13
250,1,5,-5,-12
251,1,5,-5,-11
252,1,5,-5,-10
253,1,5,-5,-9
254,1,5,-5,-8
255,1,5,-5,-3
256,1,5,-5,-2
257,1,5,-5,1
258,1,5,-5,3
259,1,5,-5,4
260,1,5,-5,5
261,1,5,-5,6
262,1,5,-5,7
263,1,5,-5,8
264,1,5,-5,9
265,1,5,-4,-12
266,1,5,-4,-11
267,1,5,-4,-10
268,1,5,-4,-9
269,1,5,-4,-8
270,1,5,-4,-7
271,1,5,-4,-3
272,1,5,-4,-2
273,1,5,-4,-1
274,1,5,-4,0
275,1,5,-4,1
276,1,5,-4,2
277,1,5,-4,3
278,1,5,-4,8
279,1,5,-3,-7
280,1,5,-3,-3
281,1,5,-3,-2
282,1,5,-3,-1
283,1,5,-3,0
284,1,5,-3,1
285,1,5,-3,2
286,1,5,-3,3
287,1,5,-3,4
288,1,5,-3,8
289,1,5,-3,9
290,1,5,-2,-7
291,1,5,-2,-6
292,1,5,-2,-3
293,1,5,-2,-2
294,1,5,-2,-1
295,1,5,-2,0
296,1,5,-2,1
297,1,5,-2,2
298,1,5,-2,3
299,1,5,-2,4
300,1,5,-2,8
301,1,5,-2,9
302,1,5,-1,-13
303,1,5,-1,-7
304,1,5,-1,-6
305,1,5,-1,-5
306,1,5,-1,-3
307,1,5,-1,-2
308,1,5,-1,-1
309,1,5,-1,0
310,1,5,-1,1
311,1,5,-1,2
312,1,5,-1,3
313,1,5,-1,4
314,1,5,-1,5
315,1,5,-1,8
316,1,5,-1,9
317,1,5,0,-13
318,1,5,0,-12
319,1,5,0,-7
320,1,5,0,-6
321,1,5,0,-5
322,1,5,0,-3
323,1,5,0,-2
324,1,5,0,-1
325,1,5,0,0
326,1,5,0,1
327,1,5,0,2
328,1,5,0,3
329,1,5,0,4
330,1,5,0,5
331,1,5,0,6
332,1,5,0,7
333,1,5,1,-13
334,1,5,1,-12
335,1,5,1,-7
336,1,5,1,-6
337,1,5,1,-5
338,1,5,1,0
339,1,5,1,1
340,1,5,1,2
341,1,5,1,3
342,1,5,1,4
343,1,5,1,5
344,1,5,1,6
345,1,5,1,7
346,1,5,2,-13
347,1,5,2,-12
348,1,5,2,-7
349,1,5,2,-6
350,1,5,2,-5
351,1,5,2,-1
352,1,5,2,0
353,1,5,2,1
354,1,5,2,2
355,1,5,2,3
356,1,5,2,5
357,1,5,3,-14
358,1,5,3,-13
359,1,5,3,-12
360,1,5,3,-11
361,1,5,3,-1
362,1,5,3,0
363,1,5,3,1
364,1,5,3,2
