event_id,event_timestamp,tic,pos_x,pos_y,pos_z,angle,momx,momy,shield,health,ammo,sector_id,player_id,game_id
23,2026-06-01 18:00:22,22913,-1177,-2611,64,172.1,8,-1,25,94,24,52,5,1
24,2026-06-01 18:00:23,22948,-1037,-2611,64,248.72,-2,-3,26,97,24,52,5,1
25,2026-06-01 18:00:24,22983,-1117,-2840,64,249.82,-3,-8,25,103,25,51,5,1
26,2026-06-01 18:00:25,23018,-1227,-3104,64,204.14,-5,-7,22,103,25,50,5,1
27,2026-06-01 18:00:26,23053,-1424,-3125,64,156.79,-8,2,21,93,23,35,5,1
28,2026-06-01 18:00:27,23088,-1683,-3045,64,170.53,-9,2,24,100,24,21,5,1
29,2026-06-01 18:00:28,23123,-1910,-2955,64,94.76,-4,6,22,100,25,8,5,1
30,2026-06-01 18:00:29,23158,-1910,-2691,64,82.75,1,8,20,94,23,9,5,1
31,2026-06-01 18:00:30,23193,-1854,-2533,64,121.5,0,0,26,94,22,9,5,1
32,2026-06-01 18:00:00,39962,-613,704,128,189.3,-9,0,0,41,50,82,3,1
33,2026-06-01 18:00:01,39997,-715,675,128,262.25,-1,-4,2,38,50,82,3,1
34,2026-06-01 18:00:02,40032,-731,567,128,283.4,-1,-1,0,42,50,82,3,1
35,2026-06-01 18:00:03,40083,-717,552,128,294.99,1,-4,2,47,50,82,3,1
36,2026-06-01 18:00:04,40118,-699,489,128,289.6,0,-1,1,47,50,81,3,1
37,2026-06-01 18:00:05,40251,-682,476,128,276.42,0,-5,2,40,50,81,3,1
38,2026-06-01 18:00:06,40286,-672,373,128,311.95,0,-1,1,41,50,81,3,1
39,2026-06-01 18:00:07,40321,-579,275,128,315.82,5,-6,2,41,50,81,3,1
40,2026-06-01 18:00:08,40356,-359,98,128,341.97,7,-4,1,39,50,94,3,1
41,2026-06-01 18:00:09,40391,-206,-39,128,270.47,-1,-5,3,43,50,110,3,1
42,2026-06-01 18:00:10,40426,-306,-273,128,226.9,-6,-7,3,42,50,93,3,1
43,2026-06-01 18:00:11,40461,-414,-410,128,118.91,2,-5,2,47,50,93,3,1
44,2026-06-01 18:00:12,40496,-404,-470,128,78.13,-1,0,3,8,50,93,3,1
45,2026-06-01 18:00:13,40546,-303,-412,128,30.03,5,3,1,15,50,93,3,1
46,2026-06-01 18:00:14,40581,-258,-368,128,150.22,0,0,0,15,50,93,3,1
47,2026-06-01 18:00:15,40616,-395,-352,128,142.83,-3,0,0,13,50,93,3,1
48,2026-06-01 18:00:16,40651,-461,-251,144,122.66,-2,5,2,13,50,94,3,1
49,2026-06-01 18:00:17,40686,-505,-115,176,107.65,-1,2,0,13,50,80,3,1
50,2026-06-01 18:00:18,40721,-509,-70,192,46.7,0,0,1,10,50,80,3,1
51,2026-06-01 18:00:19,40756,-515,-82,192,17.77,5,1,0,12,50,80,3,1
52,2026-06-01 18:00:20,40791,-466,-45,192,22.78,0,0,2,23,50,94,3,1
53,2026-06-01 18:00:21,40826,-464,-60,192,339.42,1,-1,0,24,50,94,3,1
54,2026-06-01 18:00:22,40861,-419,-26,192,25.03,6,3,0,24,50,94,3,1
55,2026-06-01 18:00:23,40896,-361,25,192,281.5,0,0,0,27,50,94,3,1
56,2026-06-01 18:00:24,40946,-471,-14,192,203.34,-5,-2,0,23,50,94,3,1
57,2026-06-01 18:00:25,40981,-575,-57,192,226.26,-1,-1,0,19,50,80,3,1
58,2026-06-01 18:00:26,41016,-657,-185,192,230.51,-5,-7,0,28,50,80,3,1
59,2026-06-01 18:00:27,41051,-803,-303,128,163.78,0,0,0,23,50,67,3,1
60,2026-06-01 18:00:28,41101,-844,-298,128,180.65,-6,0,0,22,50,67,3,1
61,2026-06-01 18:00:29,41136,-896,-302,128,164.28,-3,0,2,18,50,67,3,1
62,2026-06-01 18:00:30,41171,-950,-289,128,188.09,-3,-1,0,22,50,67,3,1
63,2026-06-01 18:00:31,97,1064,-3622,0,225.5,1,1,2,104,50,152,3,1
64,2026-06-01 18:00:32,132,1063,-3590,0,246.98,0,2,3,105,50,152,3,1
65,2026-06-01 18:00:33,167,1092,-3540,0,57.67,-1,-1,0,95,50,152,3,1
66,2026-06-01 18:00:34,202,1098,-3551,0,49.65,-1,-1,0,99,50,152,3,1
67,2026-06-01 18:00:35,237,1050,-3559,0,256.87,-1,1,0,98,50,152,3,1
68,2026-06-01 18:00:36,1068,1052,-3536,0,163.53,1,-1,0,105,50,152,3,1
69,2026-06-01 18:00:37,1103,1020,-3574,0,11.05,-2,-1,0,100,50,152,3,1
70,2026-06-01 18:00:38,1138,1030,-3606,0,159.73,0,-1,0,95,48,152,3,1
71,2026-06-01 18:00:39,1173,1013,-3616,0,57.65,0,1,0,95,50,152,3,1
72,2026-06-01 18:00:40,1208,1061,-3540,0,117.85,0,0,0,102,50,152,3,1
73,2026-06-01 18:00:00,28077,-600,-702,96,258.78,-3,-3,55,78,38,78,4,1
74,2026-06-01 18:00:01,28112,-613,-787,96,299.87,-1,-1,53,75,37,77,4,1
75,2026-06-01 18:00:02,28161,-680,-781,96,158.59,-5,1,51,76,38,77,4,1
76,2026-06-01 18:00:03,28196,-794,-764,88,190.15,-7,-1,51,71,39,65,4,1
77,2026-06-01 18:00:04,28231,-944,-782,88,268.27,-1,-1,54,78,43,65,4,1
78,2026-06-01 18:00:05,28298,-926,-781,88,1.12,5,0,57,79,39,65,4,1
79,2026-06-01 18:00:06,28333,-809,-781,88,341.93,0,-1,51,72,39,65,4,1
80,2026-06-01 18:00:07,28368,-661,-826,96,318.86,3,-2,52,71,38,77,4,1
81,2026-06-01 18:00:08,28403,-598,-944,96,318.8,0,-3,57,73,41,77,4,1
82,2026-06-01 18:00:09,28447,-594,-885,96,34.51,1,3,54,77,39,77,4,1
83,2026-06-01 18:00:10,28482,-521,-882,96,294.51,2,-1,57,76,49,77,4,1
84,2026-06-01 18:00:11,28517,-439,-949,96,12.75,4,-1,56,73,50,91,4,1
85,2026-06-01 18:00:12,28552,-396,-841,96,82.57,0,4,56,78,48,91,4,1
86,2026-06-01 18:00:13,28587,-402,-736,96,95.44,-1,6,55,80,50,92,4,1
87,2026-06-01 18:00:14,28622,-412,-647,96,92.55,-1,0,53,75,47,92,4,1
88,2026-06-01 18:00:15,28663,-469,-588,96,114.64,-5,4,55,81,49,92,4,1
89,2026-06-01 18:00:16,28698,-496,-527,96,42.36,0,0,51,75,50,92,4,1
90,2026-06-01 18:00:17,28733,-396,-445,96,26.45,0,0,52,73,48,93,4,1
91,2026-06-01 18:00:18,28768,-388,-421,96,0,0,0,52,74,49,93,4,1
92,2026-06-01 18:00:19,28803,-237,-401,96,316.92,6,-3,58,72,50,109,4,1
93,2026-06-01 18:00:20,28838,-144,-464,96,266.14,0,-1,58,81,50,109,4,1
94,2026-06-01 18:00:21,28885,-131,-528,96,263.04,-1,-3,55,80,48,108,4,1
95,2026-06-01 18:00:22,28920,-131,-549,96,259.77,-1,-1,54,74,49,108,4,1
96,2026-06-01 18:00:23,28955,-138,-631,96,255.43,-1,-1,55,78,47,108,4,1
97,2026-06-01 18:00:24,28996,-185,-647,96,150.95,-1,0,57,73,45,108,4,1
98,2026-06-01 18:00:25,29031,-170,-611,96,223.19,-1,-2,54,81,47,108,4,1
99,2026-06-01 18:00:26,29066,-263,-683,96,127.99,-6,2,59,82,47,92,4,1
100,2026-06-01 18:00:27,29101,-241,-676,96,217.53,3,0,55,77,46,108,4,1
101,2026-06-01 18:00:28,29136,-223,-717,96,260.44,-1,-3,56,73,47,108,4,1
102,2026-06-01 18:00:29,29171,-279,-857,96,284.88,-1,-2,58,80,48,91,4,1
103,2026-06-01 18:00:30,29206,-225,-850,96,357.81,6,-2,57,76,48,107,4,1
104,2026-06-01 18:00:31,29241,-57,-851,96,115.25,0,0,62,74,45,107,4,1
105,2026-06-01 18:00:32,29276,-198,-709,96,108.39,-3,3,58,78,46,108,4,1
106,2026-06-01 18:00:33,29311,-101,-768,96,142.31,6,-5,57,72,43,107,4,1
107,2026-06-01 18:00:34,29346,-33,-830,96,141.89,2,-2,56,74,46,107,4,1
108,2026-06-01 18:00:35,29381,-43,-837,96,155.61,-1,0,52,69,42,107,4,1
109,2026-06-01 18:00:36,29416,-74,-824,96,146.01,-1,0,50,51,45,107,4,1
110,2026-06-01 18:00:37,29451,-225,-680,96,117.91,-6,5,50,53,42,108,4,1
111,2026-06-01 18:00:38,29492,-265,-534,96,204.37,2,0,50,77,49,92,4,1
112,2026-06-01 18:00:39,29588,-307,-527,96,206.72,-5,-1,45,83,50,92,4,1
113,2026-06-01 18:00:40,29623,-299,-631,96,278.86,1,-8,44,77,49,92,4,1
114,2026-06-01 18:15:00,23018,-1232,-3102,64,208.52,-5,-7,25,96,24,695,2,2
115,2026-06-01 18:15:01,23053,-1418,-3126,64,159.7,-8,2,21,102,25,680,2,2
116,2026-06-01 18:15:02,23088,-1685,-3039,64,161.47,-9,2,24,93,22,666,2,2
117,2026-06-01 18:15:03,23123,-1901,-2964,64,92.6,-4,6,23,101,25,653,2,2
118,2026-06-01 18:15:04,23158,-1903,-2689,64,78.4,1,8,24,93,21,654,2,2
119,2026-06-01 18:15:05,23193,-1856,-2539,64,122.31,0,0,24,103,24,654,2,2
120,2026-06-01 18:15:06,23310,-1896,-2520,64,185.65,-7,-1,24,94,21,654,2,2
121,2026-06-01 18:15:07,23345,-2158,-2504,64,112.45,-5,2,23,95,24,646,2,2
122,2026-06-01 18:15:08,23380,-2150,-2618,64,35.49,0,-3,24,102,22,646,2,2
123,2026-06-01 18:15:09,23415,-2158,-2634,64,39.79,0,-1,26,97,20,646,2,2
124,2026-06-01 18:15:10,23495,-2099,-2468,64,57.62,3,7,21,101,22,647,2,2
125,2026-06-01 18:15:11,23530,-2041,-2389,64,55.15,-3,-5,20,100,42,647,2,2
126,2026-06-01 18:15:12,23565,-2152,-2536,64,136.24,-4,2,26,94,38,646,2,2
127,2026-06-01 18:15:13,23600,-2153,-2407,64,81.11,-3,5,26,98,42,647,2,2
128,2026-06-01 18:15:14,23635,-2161,-2556,64,83.31,-1,-7,24,104,38,646,2,2
129,2026-06-01 18:15:15,23670,-2106,-2518,64,70.21,3,6,25,98,40,646,2,2
130,2026-06-01 18:15:16,23705,-1982,-2292,64,70.02,2,4,26,97,39,655,2,2
131,2026-06-01 18:15:17,23753,-1963,-2259,64,92.66,-1,-2,19,86,40,655,2,2
