response_id,player_id,instrument_id,game_id,score,responded_at
2722,1,1,1,6,2026-06-03 22:43:48.092964
2723,2,1,2,6,2026-06-03 22:43:48.092964
2724,3,1,3,5,2026-06-03 22:43:48.092964
2725,4,1,4,3,2026-06-03 22:43:48.092964
2726,5,1,5,6,2026-06-03 22:43:48.092964
2727,6,1,6,6,2026-06-03 22:43:48.092964
2728,1,2,1,4,2026-06-03 22:43:48.092964
2729,2,2,2,6,2026-06-03 22:43:48.092964
2730,3,2,3,3,2026-06-03 22:43:48.092964
2731,4,2,4,3,2026-06-03 22:43:48.092964
2732,5,2,5,5,2026-06-03 22:43:48.092964
2733,6,2,6,7,2026-06-03 22:43:48.092964
2734,1,3,1,5,2026-06-03 22:43:48.092964
2735,2,3,2,6,2026-06-03 22:43:48.092964
2736,3,3,3,3,2026-06-03 22:43:48.092964
2737,4,3,4,2,2026-06-03 22:43:48.092964
2738,5,3,5,5,2026-06-03 22:43:48.092964
2739,6,3,6,6,2026-06-03 22:43:48.092964
2740,1,4,1,6,2026-06-03 22:43:48.092964
2741,2,4,2,5,2026-06-03 22:43:48.092964
2742,3,4,3,3,2026-06-03 22:43:48.092964
2743,4,4,4,3,2026-06-03 22:43:48.092964
2744,5,4,5,5,2026-06-03 22:43:48.092964
2745,6,4,6,6,2026-06-03 22:43:48.092964
2746,1,5,1,4,2026-06-03 22:43:48.092964
2747,2,5,2,6,2026-06-03 22:43:48.092964
2748,3,5,3,5,2026-06-03 22:43:48.092964
2749,4,5,4,3,2026-06-03 22:43:48.092964
2750,5,5,5,6,2026-06-03 22:43:48.092964
2751,6,5,6,7,2026-06-03 22:43:48.092964
2752,1,6,1,5,2026-06-03 22:43:48.092964
2753,2,6,2,6,2026-06-03 22:43:48.092964
2754,3,6,3,4,2026-06-03 22:43:48.092964
2755,4,6,4,3,2026-06-03 22:43:48.092964
2756,5,6,5,6,2026-06-03 22:43:48.092964
2757,6,6,6,7,2026-06-03 22:43:48.092964
2758,1,7,1,4,2026-06-03 22:43:48.092964
2759,2,7,2,5,2026-06-03 22:43:48.092964
